ticker,variant,model,MSE,MAE,R2
AAPL,no sentiment,Linear Regression,1.1023245141823103e-07,0.00017979963399723204,-0.0698604672563019
AAPL,no sentiment,Random Forest (tuned),1.0889854177366635e-07,0.0001811460284353055,-0.056914214340296754
AAPL,no sentiment,XGBoost (tuned),1.38237214042933e-07,0.00019612939841468088,-0.34166054102396437
AAPL,no sentiment,"GARCH(1,1)",1.1661630249689964e-07,,
AAPL,no sentiment,Persistence baseline,2.0274688779145437e-07,,
AAPL,with sentiment,Linear Regression,1.0971000550165955e-07,0.00017627300203085707,-0.06478987120923918
AAPL,with sentiment,Random Forest (tuned),1.0779055343831672e-07,0.0001782881496576728,-0.04616063948170801
AAPL,with sentiment,XGBoost (tuned),1.1100070033665876e-07,0.0001835650873231202,-0.07731670302229987
AAPL,with sentiment,"GARCH(1,1)",1.1661630249689964e-07,,
AAPL,with sentiment,Persistence baseline,2.0274688779145437e-07,,
TSLA,no sentiment,Linear Regression,1.0212902833515643e-06,0.0006132598694773967,-0.44047193721081745
TSLA,no sentiment,Random Forest (tuned),8.031690761548362e-07,0.0006815080408634314,-0.13282436335323378
TSLA,no sentiment,XGBoost (tuned),1.122005202336324e-06,0.0008776293462182083,-0.5825246100120398
TSLA,no sentiment,"GARCH(1,1)",7.183598632204605e-07,,
TSLA,no sentiment,Persistence baseline,1.3329383825105032e-06,,
TSLA,with sentiment,Linear Regression,1.0358603140784337e-06,0.0006165685538884227,-0.4610221379994508
TSLA,with sentiment,Random Forest (tuned),7.889349718003347e-07,0.0006725357417870904,-0.11274796763281003
TSLA,with sentiment,XGBoost (tuned),1.0017697531685822e-06,0.0007975173574075244,-0.41293933811882844
TSLA,with sentiment,"GARCH(1,1)",7.183598632204605e-07,,
TSLA,with sentiment,Persistence baseline,1.3329383825105032e-06,,
NKE,no sentiment,Linear Regression,6.145482679549519e-07,0.0002523449447761468,0.009044004538996897
NKE,no sentiment,Random Forest (tuned),6.043676309664067e-07,0.00023760732520614096,0.025460230549986806
NKE,no sentiment,XGBoost (tuned),6.88147570861547e-07,0.00025324946545247104,-0.10963450173967848
NKE,no sentiment,"GARCH(1,1)",6.231041845465588e-07,,
NKE,no sentiment,Persistence baseline,1.2106360191094034e-06,,
NKE,with sentiment,Linear Regression,6.158545013869769e-07,0.0002592632851322655,0.006937709690515326
NKE,with sentiment,Random Forest (tuned),6.021662210379915e-07,0.00023642159808787025,0.029009993002803935
NKE,with sentiment,XGBoost (tuned),7.038331272024768e-07,0.0002637649733234597,-0.13492738255750414
NKE,with sentiment,"GARCH(1,1)",6.231041845465588e-07,,
NKE,with sentiment,Persistence baseline,1.2106360191094034e-06,,
